Date,Open,High,Low,Close,Volume
2015-01-02,39.68264366274359,40.32899477025131,39.580588907718614,39.7676887512207,27913900
2015-01-05,39.436012705126714,39.74218024816531,39.33395793886802,39.40199661254883,39673900
2015-01-06,39.44452305177039,39.75919383792292,38.730133128976235,38.82368469238281,36447900
2015-01-07,39.10431677368267,39.512538921088094,38.687591417570594,39.316932678222656,29114100
2015-01-08,39.75917831870044,40.60964202605233,39.733665445643595,40.473567962646484,29645200
2015-01-09,40.49057733139655,40.66917393001776,39.88674888219443,40.13338088989258,23944200
2015-01-12,40.32898702895066,40.43104500864739,39.42749758479369,39.63160705566406,23651900
2015-01-13,39.946292837322005,40.74572778374153,39.17237077128169,39.42750930786133,35270600
2015-01-14,39.08732223510742,39.325454346424465,38.79816436328583,39.08732223510742,29719600
2015-01-15,39.30843703323824,39.44451110855673,38.61956020204109,38.67909240722656,32750800
2015-01-16,38.53451176019477,39.35945935048826,38.41544411594825,39.325443267822266,35695300
2015-01-20,39.37647631083627,39.6741406102206,38.75563807853709,39.45301818847656,36161900
2015-01-21,39.070300984013755,39.24039437188194,38.6790884629,39.05329132080078,39081100
2015-01-22,39.44450396375272,40.09085489337292,39.189365524277946,40.08235168457031,35898000
2015-01-23,40.27796548563983,40.303478361095046,39.8017045968172,40.124881744384766,26211600
2015-01-26,39.97179006521664,40.082351244002936,39.325439142700844,39.98029327392578,42525500
2015-01-27,36.52741219969479,36.74002809929224,35.813022647276895,36.28077697753906,169164000
2015-01-28,36.348822939738305,36.39134547936543,35.00508862654093,35.030601501464844,84507100
2015-01-29,34.80947866572928,35.82152927652381,34.69041426966657,35.72797775268555,63585300
2015-01-30,35.33676149760608,35.362277611390624,34.316204541274914,34.35873031616211,78004900
2015-02-02,34.520332070357334,35.183692917230466,34.21416452741203,35.10715103149414,50352500
2015-02-03,35.40480765362196,35.65994613577052,34.91153710977449,35.37929153442383,52082400
2015-02-04,35.66844579715236,35.898071381517944,35.17517854664449,35.58340072631836,41614800
2015-02-05,35.90658941831777,36.263782724161864,35.60042187372996,36.102195739746094,36548200
2015-02-06,36.29780192712409,36.39135348143183,35.847057068291406,36.06817626953125,34616600
2015-02-09,35.92358385681386,36.34881565640357,35.898067742740885,36.025638580322266,31381100
2015-02-10,36.348830709379314,36.374343589756656,35.87256972867303,36.22976303100586,29670700
2015-02-11,36.27227387698973,36.27227387698973,35.89806781625729,36.04264831542969,38262500
2015-02-12,36.280788467037965,36.646488189697266,36.15321758917554,36.646488189697266,33268800
2015-02-13,36.89311953695962,37.309844970703125,36.69751325765485,37.309844970703125,40264900
2015-02-17,37.6610137154582,37.686708152737744,36.99292894004376,37.32697296142578,33695700
2015-02-18,37.369795103477905,37.42975096386863,37.16422981974589,37.284141540527344,27111700
2015-02-19,36.98435709641339,37.28413635668687,36.87300911373372,37.25844192504883,27603400
2015-02-20,37.26701654849818,37.583929879038074,37.07858521578103,37.56679916381836,29721100
2015-02-23,37.4297602160906,37.849451342568656,37.38693505770408,37.81519317626953,32518800
2015-02-24,37.8152013657052,37.943676868687994,37.618199713233366,37.76380920410156,25271700
2015-02-25,37.64389255506495,37.763804315934465,37.51541380136165,37.67815399169922,29759800
2015-02-26,37.67815751727544,37.8837196216148,37.59250391767508,37.73811340332031,28957300
2015-02-27,37.79805809425763,37.85801396254465,37.39549446374495,37.558231353759766,33807700
2015-03-02,37.40406768077013,37.849456577764755,37.30128663295617,37.58393859863281,31924000
2015-03-03,37.30984935693158,37.541109138563314,36.90728567031151,37.07002258300781,31748600
2015-03-04,36.83875955918732,37.010063449099164,36.72741480799207,36.881587982177734,25748700
2015-03-05,36.89015796581041,37.03576744051466,36.67602888392511,36.92441940307617,23193500
2015-03-06,36.83018644827916,36.9244037270855,36.10214918589235,36.28201675415039,36248800
2015-03-09,36.13641682289404,36.94154413132894,36.13641682289404,36.701717376708984,32108000
2015-03-10,36.27345930882823,36.58180565974298,35.99937438964844,35.99937438964844,39159700
2015-03-11,36.2392140537122,36.29060295227063,35.83665025579849,35.95656204223633,32215300
2015-03-12,35.3998214703532,35.67390643443451,34.99725774989294,35.134300231933594,59992500
2015-03-13,34.86021091906162,35.519728802654825,34.78312432832086,35.44264221191406,58007700
2015-03-16,35.51973042234567,35.665336618523334,35.35699024149975,35.59681701660156,35273500
2015-03-17,35.43406871114173,35.82806858441581,35.24563739854925,35.71672058105469,31673400
2015-03-18,35.485467297018175,36.684591313344704,35.399816981859175,36.401939392089844,44194800
2015-03-19,36.1963748923007,36.47902682004379,36.16211672586076,36.22207260131836,33879100
2015-03-20,36.45333205896858,36.81306730856211,36.39337618403632,36.7274169921875,71904500
2015-03-23,36.727412086527124,36.94154111621269,36.64175851424307,36.71028137207031,26246100
2015-03-24,36.64175688603933,36.975797634729524,36.61606244917072,36.74454116821289,25513300
2015-03-25,36.76169050113079,36.77025749675384,35.49404633909368,35.51117706298828,43469900
2015-03-26,35.30560602544938,35.639646888945954,35.048648499051396,35.29703903198242,37495600
2015-03-27,35.21995193447944,35.48547318327661,34.97156467237633,35.09147644042969,34401400
2015-03-30,35.20282039563297,35.57968967771377,35.040083466684784,35.082908630371094,35049700
