Date,Open,High,Low,Close,Volume,sma_20,sma_200,rsi_14,macd,macd_signal,bb_upper,bb_lower,bb_width,rsi_norm,close_over_sma20,close_over_sma200,bb_position,target
2015-10-16,12.973950547434708,12.973950547434708,12.76687688738234,12.838556289672852,66989500,12.472593212127686,13.010566301345825,55.916989710101284,-0.045750569973437294,-0.12099358116703947,12.80364554430619,12.141540879949181,5.308476377736864,0.5591698971010128,1.0293413784383927,0.9867792064012478,1.0527269286051077,1
2015-10-19,12.742983934782382,12.910234869767011,12.72705484028421,12.854484558105469,62953500,12.490114879608154,13.004219708442688,56.28793036348872,-0.01906324838206963,-0.10060751461004551,12.860706150734554,12.119523608481753,5.934153123466338,0.5628793036348871,1.02917264428786,0.9884856489897654,0.991605856486885,1
2015-10-20,12.870413083165142,12.973950673740289,12.822627320866918,12.902271270751951,50797800,12.515202617645263,13.000163550376891,57.4448639918442,0.0058749122596868375,-0.07931102923609905,12.924090519668546,12.10631471562198,6.534259404586693,0.574448639918442,1.0309278774728712,0.9924699193786602,0.9733187888310861,1
2015-10-21,12.95005430540784,12.973947941065282,12.663336753845217,12.663336753845217,64440400,12.522370386123658,12.996964221000672,50.27926620292262,0.006286103296881507,-0.062191602729502936,12.936336551335982,12.108404220911334,6.61162627278698,0.5027926620292262,1.0112571632506389,0.9743303542671622,0.6702631513969949,1
2015-10-22,12.742984061127691,12.902271969524618,12.742984061127691,12.870413780212402,74116600,12.546661806106567,12.994484677314759,55.464253192254255,0.023055590078424615,-0.04514216416791743,12.981906097146963,12.11141751506617,6.938009452499296,0.5546425319225425,1.0258038336498607,0.9904520340603461,0.871919839927076,1
2015-10-23,12.973950226332832,13.181022362178236,12.94209203984465,13.157130241394045,82285800,12.571749591827393,12.992057886123657,61.45741939800724,0.058803303519157524,-0.02435307063050244,13.080759076880856,12.06274010677393,8.097671391488078,0.6145741939800724,1.0465631808278455,1.012705635759728,1.075019392325437,1
2015-10-26,13.157130654049578,13.181022775583116,13.013771848520395,13.149166107177734,67702800,12.613164186477661,12.990814309120179,61.211015376011105,0.085505332647557,-0.0023813899748905513,13.166629864448172,12.05969850850715,8.776000530681607,0.612110153760111,1.042495436733846,1.0121895205557965,0.9842232698742268,1
2015-10-27,13.061555862426758,13.117306163985686,12.981911923450385,13.061555862426758,56159300,12.65497703552246,12.990316224098205,58.43545359755991,0.0984624546609254,0.017787378952272642,13.211263040529019,12.098691030515901,8.79157668078048,0.5843545359755992,1.032127978246269,1.0054840572854107,0.865440459804039,1
2015-10-28,13.101378545548297,13.78631277254882,13.101378545548297,13.762420654296877,147720100,12.722673988342285,12.994229865074157,70.11137734599137,0.16340140881305132,0.04691018492442838,13.44672984480705,11.99861813187752,11.382133301980605,0.7011137734599138,1.0817239101549962,1.0591178390100255,1.21800169605091,0
2015-10-29,13.666847637232808,13.889850361984104,13.51552430547008,13.61109733581543,95542300,12.783999586105347,12.999004402160644,65.81270593891594,0.20034600664524937,0.07759734926859257,13.586627765925112,11.981371406285582,12.556761667797986,0.6581270593891594,1.0646978861458223,1.0470876780034821,1.0152434031756852,1
