Date,Open,High,Low,Close,Volume,sma_20,sma_200,rsi_14,macd,macd_signal,bb_upper,bb_lower,bb_width,rsi_norm,close_over_sma20,close_over_sma200,bb_position,target
2015-10-16,14.869333267211914,15.36533260345459,14.857999801635742,15.133999824523926,65017500,16.013899850845338,15.453409943580628,41.22911723474056,-0.550544412601969,-0.4079152766183114,18.176972637172184,13.850827064518493,27.014940851058988,0.41229117234740564,0.9450539821956634,0.9793307677578704,0.2966087799071276,0
2015-10-19,15.100000381469728,15.40999984741211,14.996000289916992,15.206666946411133,37618500,15.893566560745239,15.45633994102478,42.261548668516,-0.5149315105210643,-0.429318523398862,17.95260792743955,13.834525194050926,25.91037523043872,0.42261548668515997,0.9567812792862588,0.9838465642211351,0.3331991708751125,0
2015-10-20,15.1813325881958,15.239999771118164,13.466667175292969,14.20199966430664,223500000,15.733866548538208,15.45731994152069,33.49948957762177,-0.5613058973717564,-0.4557159981934409,17.797468616362966,13.670264480713449,26.23134067469871,0.3349948957762177,0.9026388790380399,0.9187879734673751,0.12883665699988692,0
2015-10-21,14.13266658782959,14.320667266845703,13.920000076293944,14.005999565124512,62272500,15.56396656036377,15.456923274993896,32.101188793972284,-0.6068777935870067,-0.4859483572721541,17.6090156141182,13.518917506609341,26.279278432305127,0.32101188793972285,0.8998991041777948,0.9061311436916635,0.11908811126582876,1
2015-10-22,14.104000091552734,14.383333206176758,13.960000038146973,14.114666938781738,42378000,15.392633295059204,15.457179946899414,33.75224233620503,-0.6269976620270157,-0.5141582182231264,17.316926450903907,13.468340139214499,25.002780472427315,0.3375224233620503,0.9169754562601272,0.9131463169394639,0.16793875652577536,0
2015-10-23,14.333333015441896,14.356666564941406,13.845999717712402,13.939332962036133,63532500,15.233233308792114,15.456669945716857,32.38394544108078,-0.6496025751944554,-0.5412470896173922,17.083057814628756,13.383408802955474,24.28669565205154,0.32383945441080786,0.9150606886583176,0.9018328663929847,0.15026402702704625,0
2015-10-26,14.092000007629396,14.392000198364258,14.0,14.350666999816896,50871000,15.12266664505005,15.45953661441803,38.665875939957694,-0.6270971272241042,-0.5584170971387347,16.904691078637253,13.340642211462846,23.56759525834679,0.38665875939957695,0.9489508257139395,0.9282727780102433,0.28339251957417805,0
2015-10-27,14.322667121887209,14.473333358764648,13.833999633789062,14.023332595825195,52791000,15.001666641235351,15.462249941825867,35.81432119447156,-0.6284303939221783,-0.5724197564954234,16.73657943372819,13.266753848742516,23.129600650157766,0.3581432119447156,0.9347849763091661,0.9069399763026494,0.2180451808172956,0
2015-10-28,14.087332725524902,14.229999542236328,13.886667251586914,14.197333335876465,40929000,14.883533334732055,15.465153274536133,38.4143462996135,-0.6084329752465276,-0.5796224002456443,16.495305855853974,13.271760813610136,21.6584662374586,0.384143462996135,0.9538953564706116,0.9180208617300176,0.2871287697664861,1
2015-10-29,14.116666793823242,14.25,14.042667388916016,14.108667373657228,27075000,14.789366722106934,15.471466612815856,37.57898383985477,-0.5929048410737341,-0.5822788884112623,16.350355256270706,13.228378187943159,21.10960615819243,0.37578983839854774,0.9539737325309402,0.911915316546025,0.28196529521135877,1
2015-10-30,14.026666641235352,14.108667373657228,13.592666625976562,13.795332908630373,66583500,14.653900003433227,15.476486611366273,34.70667926939127,-0.5989775156006232,-0.5856186138491345,16.058339293171034,13.249460713695418,19.168129841322312,0.3470667926939127,0.941410334818601,0.8913736854525353,0.19433812444711027,1
2015-11-02,13.928000450134276,14.386667251586914,13.814666748046877,14.252667427062988,58918500,14.546033382415771,15.48339328289032,41.70979837195211,-0.5604268287526999,-0.5805802568298476,15.704191001440034,13.38787576339151,15.924033564013698,0.4170979837195211,0.9798318931601364,0.9205131696042801,0.3733480009396556,1
2015-11-03,14.256667137145996,14.29599952697754,13.850000381469728,13.890000343322754,124987500,14.435666704177857,15.488866620063781,38.209884758969174,-0.5527673761787302,-0.5750176806996241,15.382965527851415,13.488367880504299,13.124420826360558,0.38209884758969176,0.962200127501061,0.89677319096609,0.2119882621942634,1
2015-11-04,15.133333206176758,15.515999794006348,15.013333320617676,15.44200038909912,190896000,14.434566736221313,15.500553288459777,55.44127342494324,-0.41666076579612366,-0.5433462977189241,15.377125991015845,13.492007481426782,13.059751248775964,0.5544127342494324,1.0697931341679836,0.9962225284303722,1.0344139627048787,0
